STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        427;20211211;   10;   6.2;   2.5;    3;   0.0;   0;    0.000;   2;   7.8;   5.5; 1007.69;   -1.2;   98.08;   -0.5;   -1.9;   -1.7;eor
        427;20211212;   10;   6.9;   3.2;    3;   0.6;   6;    0.000;   2;   7.4;   6.1; 1016.78;    0.5;   94.96;    4.5;   -3.4;   -5.8;eor
        427;20211213;   10;   5.0;   2.5;    3;   1.8;   6;    0.000;   0;   7.9;   9.6; 1019.62;    6.5;   99.00;    8.9;    4.5;    4.0;eor
        427;20211214;   10;   6.2;   3.4;    3;   0.8;   6;    0.000;   0;   7.4;   9.5; 1019.99;    7.2;   94.00;    8.0;    6.4;    5.8;eor
        427;20211215;   10;   6.7;   4.0;    3;   0.0;   6;    0.000;   0;   7.7;  10.1; 1022.80;    8.1;   93.58;    9.7;    6.3;    4.4;eor
        427;20211216;   10;   9.8;   4.6;    3;   0.1;   6;    1.217;   0;   5.5;   9.0; 1027.06;    7.0;   90.21;    9.5;    2.5;   -0.6;eor
        427;20211217;   10;  10.1;   4.5;    3;   0.0;   6;    0.000;   0;   7.2;   7.7; 1030.59;    5.4;   84.96;    6.1;    4.7;    4.3;eor
        427;20211218;   10;  13.4;   4.5;    3;   0.3;   6;    0.000;   0;   7.7;   8.6; 1027.18;    5.9;   92.96;    7.7;    4.7;    4.3;eor
        427;20211219;   10;  14.9;   7.2;    3;   3.2;   6;    0.000;   0;   6.3;   8.2; 1015.37;    6.2;   85.58;    7.4;    1.6;   -0.5;eor
        427;20211220;   10;   8.2;   3.7;    3;   0.0;   0;    3.367;   0;   3.3;   5.7; 1018.22;    1.1;   85.79;    3.5;   -1.2;   -4.3;eor
        427;20211221;   10;   5.7;   2.4;    3;   0.0;   0;    0.067;   0;   7.3;   5.7; 1020.24;    0.7;   89.21;    2.0;   -0.5;   -1.9;eor
        427;20211222;   10;   6.2;   2.7;    3;   0.0;   0;    5.317;   0;   6.8;   4.7; 1020.53;   -1.1;   83.67;    1.3;   -4.6;   -6.8;eor
        427;20211223;   10;   8.2;   4.0;    3;   7.5;   8;    0.000;   0;   7.8;   4.8; 1005.25;   -1.4;   87.25;    1.2;   -4.9;   -7.3;eor
        427;20211224;   10;  11.0;   4.6;    3;   5.0;   8;    0.000;   0;   7.3;   6.7;  994.11;    2.1;   91.88;    5.8;   -4.6;   -7.0;eor
        427;20211225;   10;   5.0;   1.2;    3;   0.0;   0;    6.067;   0;   1.5;   3.1; 1007.28;   -6.2;   81.38;   -1.9;  -10.6;  -13.9;eor
        427;20211226;   10;   6.0;   2.5;    3;   0.0;   0;    6.150;   0;   0.3;   2.7; 1008.45;   -8.3;   81.25;   -2.7;  -12.2;  -14.9;eor
        427;20211227;   10;   8.7;   4.6;    3;   0.0;   6;    0.250;   0;   6.2;   3.5; 1002.25;   -4.3;   78.04;   -1.2;   -9.9;  -12.1;eor
        427;20211228;   10;   8.7;   4.6;    3;   2.5;   6;    0.000;   0;   6.6;   5.1;  994.24;   -0.5;   84.92;    3.0;   -4.2;   -5.8;eor
        427;20211229;   10;   6.2;   2.3;    3;   0.2;   6;    0.000;   0;   7.7;   8.1;  998.20;    4.1;   98.25;    5.8;    1.2;   -0.8;eor
        427;20211230;   10;  10.8;   4.9;    3;   2.6;   6;    0.000;   0;   7.5;  11.2; 1005.58;    8.9;   96.38;   12.9;    4.5;    2.8;eor
        427;20211231;   10;  13.7;   7.1;    3;   4.9;   6;    0.000;   0;   7.4;  12.8; 1008.55;   12.4;   88.71;   13.8;   11.4;   10.6;eor
        427;20220101;   10;  12.7;   5.8;    3;   0.0;   0;    0.000;   0;   7.6;  12.2; 1015.49;   11.8;   88.25;   13.0;    8.9;    6.9;eor
        427;20220102;   10;  13.0;   5.8;    3;   5.0;   6;    0.000;   0;   6.8;  10.3; 1006.62;    9.4;   87.13;   11.4;    7.3;    5.1;eor
        427;20220103;   10;  21.4;   7.4;    3;   1.9;   6;    0.683;   0;   5.5;   9.3; 1000.27;    8.7;   82.29;   10.5;    5.2;    2.6;eor
        427;20220104;   10;   9.8;   3.8;    3;   1.7;   6;    0.000;   0;   7.3;   8.8;  990.50;    6.1;   93.29;    7.1;    3.2;    1.3;eor
        427;20220105;   10;  17.5;   6.9;    3;   0.7;   8;    2.233;   0;   7.0;   6.6;  992.22;    3.3;   85.83;    4.8;    1.8;    0.3;eor
        427;20220106;   10;  17.5;   5.2;    3;   0.0;   0;    6.367;   0;   2.2;   4.9; 1007.87;    0.7;   75.88;    3.9;   -3.0;   -5.4;eor
        427;20220107;   10;  12.3;   5.3;    3;   0.4;   8;    0.483;   0;   6.3;   5.5; 1007.84;    0.4;   88.04;    3.3;   -3.3;   -6.0;eor
        427;20220108;   10;   9.4;   4.0;    3;   0.0;   0;    2.017;   0;   6.0;   5.9; 1002.30;    1.1;   89.42;    2.8;   -0.9;   -3.1;eor
        427;20220109;   10;  10.6;   4.5;    3;   0.0;   6;    0.000;   0;   7.3;   5.6;  993.45;    1.4;   81.79;    3.5;   -1.4;   -3.5;eor
        427;20220110;   10;   5.1;   2.1;    3;   0.2;   6;    0.000;   0;   7.4;   6.9; 1014.17;    2.4;   94.29;    5.1;   -3.3;   -5.1;eor
        427;20220111;   10;   7.7;   2.8;    3;   0.0;   0;    3.850;   0;   4.6;   4.5; 1029.32;   -2.6;   89.17;    0.0;   -5.1;   -7.9;eor
        427;20220112;   10;   8.6;   3.1;    3;   0.0;   6;    0.167;   0;   7.6;   6.0; 1030.18;    0.5;   93.46;    3.1;   -3.9;   -4.5;eor
