STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2564;20211211;   10;   8.3;   3.0;    3;   1.0;   6;-999;   0;   7.1;   7.1; 1007.61;    2.9;   93.25;    4.3;    1.0;   -1.3;eor
       2564;20211212;   10;   9.7;   4.1;    3;   3.3;   8;-999;   0;   7.2;   8.8; 1014.76;    5.3;   98.38;    8.1;    2.5;    2.4;eor
       2564;20211213;   10;   9.6;   3.3;    3;   1.3;   6;-999;   0;   7.8;  11.1; 1019.41;    9.0;   96.75;   10.2;    7.2;    6.8;eor
       2564;20211214;   10;   9.6;   3.8;    3;   0.3;   6;-999;   0;   7.5;  10.0; 1019.62;    7.6;   95.00;    8.8;    5.6;    2.6;eor
       2564;20211215;   10;  13.9;   6.4;    3;   0.0;   6;-999;   0;   7.5;  10.6; 1021.85;    9.2;   90.96;   10.4;    8.4;    7.4;eor
       2564;20211216;   10;  10.0;   4.6;    3;   0.0;   0;-999;   0;   5.8;   9.9; 1030.13;    7.3;   96.21;    9.0;    4.8;    4.3;eor
       2564;20211217;   10;   9.1;   4.2;    3;   0.6;   6;-999;   0;   7.8;   9.4; 1034.05;    6.2;   98.46;    7.8;    4.5;    4.5;eor
       2564;20211218;   10;  15.1;   5.1;    3;   0.1;   6;-999;   0;   6.3;   9.5; 1029.80;    7.2;   93.13;    9.2;    5.7;    4.9;eor
       2564;20211219;   10;  16.4;   5.8;    3;   0.0;   0;-999;   0;   4.8;   7.6; 1020.65;    6.2;   78.92;    8.5;    1.2;   -3.5;eor
       2564;20211220;   10;   5.6;   3.2;    3;   0.0;   0;-999;   0;   0.2;   5.4; 1023.25;    1.2;   81.46;    4.7;   -2.8;   -6.1;eor
       2564;20211221;   10;   6.3;   2.3;    3;   0.0;   0;-999;   0;   5.1;   5.2; 1022.66;   -0.4;   88.42;    3.0;   -4.6;   -7.7;eor
       2564;20211222;   10;   7.0;   3.4;    3;   0.0;   0;-999;   0;   7.8;   4.8; 1020.30;   -1.5;   88.71;   -0.1;   -3.2;   -4.0;eor
       2564;20211223;   10;   9.3;   2.9;    3;   9.7;   8;-999;   0;   7.5;   5.2; 1004.52;   -1.0;   90.50;    0.9;   -2.9;   -3.5;eor
       2564;20211224;   10;  13.4;   3.9;    3;   0.3;   8;-999;   2;   5.5;   5.1;  998.55;   -0.6;   83.54;    1.5;   -7.0;   -9.5;eor
       2564;20211225;   10;   5.9;   3.0;    3;   0.0;   0;-999;   2;   0.0;   3.2; 1009.55;   -5.6;   79.29;   -2.2;  -10.4;  -11.1;eor
       2564;20211226;   10;   7.0;   2.4;    3;   0.0;   0;-999;   2;   0.0;   2.7; 1009.60;   -4.2;   61.63;   -0.9;   -7.4;  -11.4;eor
       2564;20211227;   10;   8.6;   4.3;    3;   0.0;   6;-999;   2;   6.4;   3.9; 1001.42;   -2.7;   75.75;    0.8;   -5.6;   -9.0;eor
       2564;20211228;   10;   9.3;   4.0;    3;   0.0;   6;-999;   2;   7.5;   6.2;  992.46;    1.4;   91.25;    2.3;    0.7;   -0.8;eor
       2564;20211229;   10;   5.4;   1.9;    3;   0.4;   6;-999;   0;   8.0;   7.1;  999.35;    2.1;   99.42;    4.5;    1.0;    0.3;eor
       2564;20211230;   10;  11.5;   5.1;    3;   9.2;   6;-999;   0;   7.7;  10.9; 1003.71;    8.3;   98.50;   10.5;    4.5;    3.5;eor
       2564;20211231;   10;  18.5;   7.9;    3;   8.0;   6;-999;   0;   7.5;  12.6; 1006.82;   11.0;   96.17;   12.3;    9.9;    9.3;eor
       2564;20220101;   10;  10.2;   4.8;    3;   5.2;   6;-999;   0;   7.5;  12.4; 1014.50;   10.8;   95.29;   12.5;    9.4;    8.6;eor
       2564;20220102;   10;  21.5;   5.9;    3;   8.9;   6;-999;   0;  -999;  12.1; 1003.22;   10.6;   94.21;   12.0;    8.7;    7.8;eor
       2564;20220103;   10;  16.7;   7.6;    3;   0.6;   6;-999;   0;   7.3;   9.7;  997.43;    8.8;   85.83;    9.4;    8.0;    7.1;eor
       2564;20220104;   10;  12.7;   4.7;    3;   5.4;   8;-999;   0;   5.7;   8.1;  988.97;    5.6;   88.54;    8.4;    1.8;    0.2;eor
