STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2667;20211211;   10;   8.6;   2.0;    3;   0.6;   6;    0.133;   0;   7.3;   7.0; 1003.43;    2.9;   93.00;    6.5;   -0.4;   -1.3;eor
       2667;20211212;   10;   7.4;   3.1;    3;   7.1;   6;    0.000;   0;   7.8;   8.5; 1012.06;    5.4;   93.83;    7.8;    2.2;    1.0;eor
       2667;20211213;   10;   5.7;   2.2;    3;   0.0;   6;    0.033;   0;   7.4;   9.6; 1015.79;    8.2;   88.50;    9.9;    7.2;    6.0;eor
       2667;20211214;   10;   4.6;   1.8;    3;   0.0;   6;    0.000;   0;   7.7;   9.3; 1016.41;    7.6;   88.75;    8.3;    6.8;    6.4;eor
       2667;20211215;   10;   4.6;   1.5;    3;   0.1;   6;    0.033;   0;   7.8;  10.0; 1019.99;    8.4;   90.42;    9.8;    7.4;    6.9;eor
       2667;20211216;   10;   4.1;   1.1;    3;   0.0;   6;    0.000;   0;   7.3;  10.0; 1025.20;    8.4;   90.63;    9.9;    6.0;    3.6;eor
       2667;20211217;   10;   4.1;   1.2;    3;   0.0;   6;    0.000;   0;   6.3;   9.3; 1027.52;    7.0;   92.13;    8.5;    0.7;   -1.8;eor
       2667;20211218;   10;   4.6;   1.3;    3;   0.4;   6;    0.000;   0;   7.3;   7.7; 1026.48;    3.6;   96.92;    5.6;   -0.1;   -2.1;eor
       2667;20211219;   10;   8.2;   3.0;    3;   0.1;   6;    0.000;   0;   8.0;   8.5; 1019.08;    5.7;   92.96;    6.2;    5.3;    5.1;eor
       2667;20211220;   10;   5.7;   2.5;    3;   0.0;   0;    5.767;   0;   4.0;   6.1; 1015.35;    3.2;   78.33;    6.8;   -3.9;   -6.6;eor
       2667;20211221;   10;   3.6;   1.8;    3;   0.0;   0;    6.483;   0;   0.0;   4.2; 1014.40;   -2.3;   82.75;    3.6;   -7.6;   -9.0;eor
       2667;20211222;   10;   8.7;   3.8;    3;   0.0;   0;    5.250;   0;   4.6;   4.2; 1012.22;   -1.3;   76.79;    2.0;   -6.2;   -8.7;eor
       2667;20211223;   10;  10.1;   4.3;    3;   0.7;   6;    0.033;   0;   7.6;   5.7;  999.95;    2.2;   77.33;    7.2;   -1.3;   -2.4;eor
       2667;20211224;   10;  12.0;   3.8;    3;   7.0;   6;    0.050;   0;   7.4;   9.5;  993.48;    8.7;   83.79;   10.4;    6.6;    5.7;eor
       2667;20211225;   10;   8.7;   3.6;    3;   3.2;   8;    0.000;   0;   7.3;   6.7;  994.91;    3.1;   84.83;    7.2;   -0.2;   -1.0;eor
       2667;20211226;   10;  10.1;   5.1;    3;   0.0;   8;    0.000;   0;   7.4;   5.8;  994.76;    1.9;   82.46;    3.2;    0.1;    0.0;eor
       2667;20211227;   10;   7.7;   4.5;    3;   5.1;   6;    0.717;   0;   7.5;   8.3;  988.98;    5.6;   90.38;    8.0;    2.8;    2.4;eor
       2667;20211228;   10;  18.5;   4.7;    3;  13.6;   6;    0.283;   0;   7.2;  10.0;  983.57;    8.7;   88.88;   10.9;    6.8;    5.9;eor
       2667;20211229;   10;  12.2;   4.1;    3;   6.1;   6;    0.317;   0;   7.7;  10.6;  995.05;    9.6;   88.50;   13.0;    8.2;    7.4;eor
       2667;20211230;   10;  13.9;   4.2;    3;   0.0;   6;    0.017;   0;   7.3;  13.0; 1004.85;   13.5;   83.71;   15.2;   10.6;    9.4;eor
       2667;20211231;   10;  10.8;   3.6;    3;   0.0;   6;    0.950;   0;   7.2;  12.0; 1008.78;   13.5;   77.58;   15.5;   11.4;    9.6;eor
       2667;20220101;   10;   8.2;   3.4;    3;   0.3;   6;    2.250;   0;   7.4;  11.4; 1012.28;   12.3;   79.83;   14.6;    9.2;    6.2;eor
       2667;20220102;   10;  15.6;   4.0;    3;   5.9;   6;    0.033;   0;   7.3;  10.6; 1003.57;   11.1;   80.50;   13.6;    8.7;    7.8;eor
       2667;20220103;   10;  14.1;   4.1;    3;  13.0;   6;    0.117;   0;   7.3;   9.6;  999.70;    9.4;   81.58;   11.2;    7.6;    7.0;eor
