STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3379;20211211;   10;  11.2;   3.7;    3;   0.4;   8;    0.000;   1;   7.4;   5.8;  952.56;    1.4;   85.00;    2.4;    0.0;   -2.5;eor
       3379;20211212;   10;   6.6;   2.2;    3;   2.4;   6;    3.300;   1;   7.3;   5.5;  964.68;    2.8;   74.46;    4.7;    0.7;    0.3;eor
       3379;20211213;   10;   7.6;   1.7;    3;   0.1;   6;    0.000;   0;   7.9;   7.8;  966.03;    4.2;   94.46;    5.5;    2.6;    2.3;eor
       3379;20211214;   10;   5.4;   1.8;    3;   0.2;   6;    1.867;   0;   8.0;   7.0;  965.83;    3.2;   91.67;    5.9;    0.3;    0.7;eor
       3379;20211215;   10;   4.8;   1.4;    3;   0.2;   6;    0.000;   0;   7.7;   7.2;  969.20;    3.7;   90.63;    4.9;    3.0;    3.0;eor
       3379;20211216;   10;   5.2;   1.4;    3;   0.1;   6;    0.100;   0;   7.4;   6.9;  973.11;    3.1;   90.13;    4.8;    1.4;   -0.3;eor
       3379;20211217;   10;   5.3;   1.6;    3;   0.0;   6;    4.433;   0;   6.7;   6.7;  974.12;    3.5;   85.79;    6.2;    1.2;    1.2;eor
       3379;20211218;   10;   4.5;   1.4;    3;   0.0;   6;    0.000;   0;   8.0;   5.6;  973.01;    0.2;   90.58;    1.3;   -0.8;   -0.5;eor
       3379;20211219;   10;   7.5;   3.0;    3;   0.2;   8;    4.417;   0;   6.5;   5.4;  965.50;   -0.3;   90.13;    3.0;   -1.8;   -1.5;eor
       3379;20211220;   10;   5.5;   2.0;    3;   0.0;   0;    2.700;   0;   4.6;   5.5;  962.04;    0.8;   84.29;    3.7;   -2.0;   -4.4;eor
       3379;20211221;   10;   6.2;   1.8;    3;   0.0;   0;    5.317;   0;   3.2;   4.4;  960.91;   -2.7;   87.29;   -0.1;   -5.1;   -6.9;eor
       3379;20211222;   10;   6.8;   1.9;    3;   0.0;   0;    4.300;   0;   5.0;   3.9;  961.58;   -3.8;   84.46;   -1.6;   -6.6;   -7.9;eor
       3379;20211223;   10;  10.2;   1.7;    3;   1.7;   6;    1.767;   0;   7.7;   4.8;  953.78;   -0.1;   77.46;    9.0;   -7.5;   -8.4;eor
       3379;20211224;   10;  13.8;   4.7;    3;   5.5;   6;    0.000;   0;   7.5;   8.2;  946.54;    8.0;   76.58;    9.6;    7.0;    5.8;eor
       3379;20211225;   10;  10.9;   2.5;    3;   7.9;   6;    0.183;   0;   7.9;   8.7;  944.07;    6.9;   87.88;    9.7;    2.0;    2.3;eor
       3379;20211226;   10;   4.6;   1.8;    3;   2.2;   6;    0.000;   0;   7.9;   7.1;  946.12;    3.1;   93.42;    4.6;    1.5;    1.7;eor
       3379;20211227;   10;   6.1;   1.6;    3;   3.2;   6;    3.217;   0;   7.1;   7.7;  943.66;    4.6;   90.38;    9.4;    2.1;    1.4;eor
       3379;20211228;   10;  19.2;   3.6;    3;   9.4;   6;    0.033;   0;   7.3;   8.1;  941.53;    6.4;   84.25;    9.8;    3.7;    1.7;eor
       3379;20211229;   10;  16.7;   5.0;    3;  11.0;   6;    2.300;   0;   7.5;   8.5;  948.40;    8.1;   78.54;   11.2;    6.9;    5.9;eor
       3379;20211230;   10;  13.4;   4.7;    3;   0.7;   6;    0.350;   0;   7.7;  12.0;  958.65;   12.2;   84.42;   13.9;   10.9;   10.0;eor
       3379;20211231;   10;   9.9;   2.8;    3;   0.0;   0;    7.150;   0;   4.3;   9.8;  962.14;   12.3;   69.21;   15.6;   10.3;    7.5;eor
       3379;20220101;   10;   6.6;   1.9;    3;   0.0;   0;    7.600;   0;   5.4;   8.1;  965.13;    8.5;   73.50;   13.4;    3.2;    0.5;eor
       3379;20220102;   10;  12.8;   3.1;    3;   0.0;   0;    4.733;   0;   6.4;   6.1;  958.78;    9.5;   55.21;   15.8;    1.9;   -0.4;eor
       3379;20220103;   10;  17.0;   5.3;    3;   0.7;   6;    0.000;   0;   7.9;   7.5;  954.80;   10.3;   59.96;   11.5;    8.7;    6.4;eor
       3379;20220104;   10;  19.0;   4.1;    3;  10.3;   6;    1.017;   0;   7.8;   8.7;  940.54;   10.5;   69.00;   16.5;    3.7;    3.6;eor
       3379;20220105;   10;  13.8;   4.9;    3;   1.2;   8;    0.367;   0;   7.6;   5.5;  946.01;    1.9;   76.58;    3.9;    0.3;   -0.5;eor
       3379;20220106;   10;  10.0;   3.6;    3;   0.4;   8;    3.250;   0;   6.5;   5.0;  955.92;    0.7;   78.50;    2.7;   -1.8;   -3.7;eor
       3379;20220107;   10;   9.7;   2.3;    3;   2.2;   8;    3.583;   0;   5.4;   4.5;  955.87;   -1.1;   80.38;    1.4;   -4.0;   -5.8;eor
       3379;20220108;   10;  16.5;   3.5;    3;   2.9;   8;    1.817;   4;   5.8;   4.8;  949.52;    0.6;   75.75;    2.4;   -1.4;   -7.2;eor
       3379;20220109;   10;  17.6;   4.2;    3;   0.7;   8;    0.800;   1;   7.5;   5.6;  941.98;    2.2;   77.33;    4.3;    0.7;    0.0;eor
       3379;20220110;   10;   5.2;   1.8;    3;   0.0;   8;    0.000;   0;   7.8;   5.7;  956.54;    1.4;   85.13;    2.3;    0.8;   -0.2;eor
