STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4928;20211211;   10;   8.1;   3.0;    3;   0.0;   6;    0.000;   0;   7.8;   6.1;  977.78;    2.3;   84.92;    3.3;    0.9;    0.5;eor
       4928;20211212;   10;   6.5;   2.2;    3;   0.2;   6;    1.167;   0;   7.5;   6.0;  989.13;    3.8;   74.13;    5.8;    1.1;   -1.2;eor
       4928;20211213;   10;   5.3;   1.7;    3;   0.0;   6;    0.000;   0;   7.9;   8.7;  990.64;    5.8;   94.08;    7.5;    4.1;    4.0;eor
       4928;20211214;   10;   7.2;   1.9;    3;   0.1;   6;    0.133;   0;   8.0;   8.0;  990.72;    4.8;   93.04;    5.8;    3.1;    3.5;eor
       4928;20211215;   10;   5.8;   1.8;    3;   0.0;   6;    0.000;   0;   7.9;   7.7;  994.46;    4.8;   89.50;    5.6;    3.7;    3.5;eor
       4928;20211216;   10;   6.3;   1.6;    3;   0.0;   6;    0.000;   0;   6.7;   7.3;  998.42;    4.0;   89.46;    6.0;    1.6;   -2.0;eor
       4928;20211217;   10;   6.1;   1.7;    3;   0.0;   0;    5.700;   0;   6.3;   7.1;  999.60;    4.3;   85.54;    7.4;    2.0;    1.9;eor
       4928;20211218;   10;   6.5;   2.2;    3;   0.0;   6;    0.000;   0;   8.0;   6.2;  998.44;    2.0;   87.58;    2.7;    1.1;    1.2;eor
       4928;20211219;   10;   6.1;   1.9;    3;   0.1;   6;    0.000;   0;   8.0;   6.4;  991.70;    1.5;   93.96;    2.9;    0.7;    0.8;eor
       4928;20211220;   10;   4.5;   1.4;    3;   0.0;   0;    0.917;   0;   4.9;   6.2;  987.46;    2.0;   87.54;    5.0;   -2.3;   -6.6;eor
       4928;20211221;   10;   5.4;   1.6;    3;   0.0;   0;    7.717;   0;   0.3;   4.5;  986.27;   -1.8;   84.54;    1.8;   -4.9;   -9.0;eor
       4928;20211222;   10;   5.4;   1.8;    3;   0.0;   0;    7.133;   0;   4.0;   4.0;  986.26;   -3.3;   83.54;    0.6;   -6.6;   -9.4;eor
       4928;20211223;   10;   7.9;   3.3;    3;   0.0;   6;    0.233;   0;   8.0;   5.0;  977.37;    1.2;   73.42;   10.1;   -4.8;   -6.2;eor
       4928;20211224;   10;   8.2;   2.4;    3;   6.6;   6;    0.000;   0;   7.9;   8.9;  970.10;    8.9;   78.50;   10.3;    7.3;    5.8;eor
       4928;20211225;   10;   5.7;   2.1;    3;   2.2;   6;    0.000;   0;   7.8;   9.2;  967.90;    6.3;   94.79;    9.3;    2.3;    2.6;eor
       4928;20211226;   10;   5.9;   2.1;    3;   4.6;   6;    0.233;   0;   8.0;   8.1;  969.12;    4.6;   95.08;    7.2;    2.2;    2.5;eor
       4928;20211227;   10;   8.1;   3.1;    3;   1.8;   6;    3.667;   0;   7.5;   8.8;  966.15;    7.2;   87.04;    9.1;    5.0;    3.6;eor
       4928;20211228;   10;  20.1;   5.0;    3;   4.7;   6;    1.033;   0;   7.2;   9.0;  963.13;    8.6;   80.13;   12.1;    6.2;    5.0;eor
       4928;20211229;   10;  14.4;   3.6;    3;   3.8;   6;    0.000;   0;   7.8;   9.7;  972.34;    9.2;   83.21;   13.7;    7.4;    6.7;eor
